Categories,address
Public Building,Pg Picasso 4
Public Building,C Comerç 36
Public Building,C Junta de Comerç 26
Public Building,C Regomir 3
Public Building,Pg Marítim Barceloneta 25
Public Building,Pg Salvat Papasseit 1
Public Building,C Conreria 1
Public Building,C Carme 101
Public Building,Carrer Nou de la Rambla 43
Public Building,C Palau de la Música 4
Public Building,Carrer de Sant Pere Més Baix 7
Public Building,Plaça de Pons i Clerch 2
Public Building,la Rambla 115
Public Building,Carrer la Rambla 30
Public Building,Hospital 56
Public Building,Carrer de Montcada 12
Public Building,C Montcada 15
Public Building,Pl Pau Vila 3
Public Building,Avinguda de les Drassanes 1
Public Building,C Mercaders 42
Public Building,C Allada-Vermell 3
Public Building,C Arcs 1
Public Building,Av Catedral 7
Public Building,Pl Gardunya 1
Public Building,Av Drassanes 3
Public Building,Arc del Teatre 24
Public Building,Pla Palau 18
Public Building,Plaça de la Gardunya 9
Public Building,C Rec 23
Public Building,Correu Vell 5
Public Building,Carrer de la Reina Amàlia 31
Public Building,Pl Caramelles 3
Public Building,Pl Carles Pi i Sunyer 8
Public Building,C Notariat 4
Public Building,C Ripoll 25
Public Building,Carrer de Sant Pere Més Baix 70
Public Building,C Cera 46
Public Building,Carrer de Sant Oleguer 6-8
