register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y
99400344770,WC Públic,92086011942,Turó Park - Parc del Poeta Eduard Marquina,2014-06-11T00:00:00+02:00,2021-04-18T02:10:19.168959+02:00,,,143507,Av Pau Casals,19,,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,08021,BARCELONA,True,,,,,,,,,,,,,,428061.0010413807,4582898.827410442,41.39440798436396,2.1394712589492504
99400344781,WC Públic,92086020872,Parc de la Creueta del Coll,2014-06-11T00:00:00+02:00,2021-04-18T02:10:18.465871+02:00,,,230000,Pg Mare de Déu del Coll,77,,29,el Coll,06,Gràcia,08023,BARCELONA,True,,,,,,,,,,,,,,428892.84834809304,4585783.552456824,41.420463543312195,2.149081749832279
99400344281,WC Públic,92086028091,Parc de l'Estació del Nord,2014-06-04T00:00:00+02:00,2021-04-18T02:10:21.331000+02:00,,,225500,C Nàpols,70,,05,el Fort Pienc,02,Eixample,08018,BARCELONA,True,,,,,,,,,,,,,,431779.279930913,4582781.090329668,41.39367157911195,2.1839578397165673
99400392747,WC Públic *Plaça Terenci Moix,,,2015-07-31T14:07:12+02:00,2021-04-18T02:10:15.858882+02:00,,,701671,Pl Terenci Moix,1,,01,el Raval,01,Ciutat Vella,08001,BARCELONA,True,,227322,100050,Telèfons,No tenen telèfon,-,True,,,,,,,430219.75330331293,4581738.316186298,41.38414585266833,2.165425105434271
99400526821,WC Públic,95109130139,Jardins del  Baix Guinardó,2017-09-01T00:00:00+02:00,2021-04-18T02:08:09.451510+02:00,,,197302,C Marina,372,,33,el Baix Guinardó,07,Horta-Guinardó,08025,BARCELONA,True,,,,,,,,,,,,,,430517.40482267167,4584581.420513669,41.409778507236084,2.1686584215423337
99400526822,WC Públic,92086011958,Parc del Turó de la Peira,2017-09-01T00:00:00+02:00,2021-04-18T02:08:11.257798+02:00,,,119003,Pg Fabra i Puig,396,,46,el Turó de la Peira,08,Nou Barris,08031,BARCELONA,True,,,,,,,,,,,,,,430300.49239837454,4587147.198461157,41.432868717603355,2.1657676750478574
99400526823,WC Públic,93188125133,Parc de la Trinitat,2017-09-01T00:00:00+02:00,2021-04-18T02:08:11.663781+02:00,,,314100,Pg Santa Coloma,60,,60,Sant Andreu,09,Sant Andreu,08030,BARCELONA,True,,,,,,,,,,,,,,432814.485640381,4588944.298465399,41.44926882521931,2.1956548753915466
99400344284,WC Públic,92086012013,Parc de Joan Miró,2014-06-04T00:00:00+02:00,2021-04-18T02:10:19.344513+02:00,,,018505,C Aragó,2,,09,la Nova Esquerra de l'Eixample,02,Eixample,08015,BARCELONA,True,,,,,,,,,,,,,,428709.91513748065,4581000.540072062,41.37736859072251,2.147456062468237
99400344303,WC Públic,99400320168,Parc de Can Rigal,2014-06-04T00:00:00+02:00,2021-04-18T02:10:19.152421+02:00,,,700811,Av Albert Bastardas,23,,20,la Maternitat i Sant Ramon,04,Les Corts,08028,BARCELONA,True,,,,,,,,,,,,,,425390.9683537448,4581251.521906029,41.37932819241353,2.1077390567867273
99400344311,WC Públic,1338142144,Jardins del Mirador de l'Alcalde,2014-06-04T00:00:00+02:00,2021-04-21T14:45:27.945407+02:00,,,218504,Carretera de Montjuïc,41,51,11,el Poble-sec,03,Sants-Montjuïc,08038,Barcelona,True,,,,,,,,,,,,,,430458.27480407,4579873.349800231,41.36736931595779,2.1684915045199515
